Session ID,Title,Day,Date,Theatre,Start Time,End Time,Categories,Description,Speaker 1 Name,Speaker 1 Job Title,Speaker 1 Company,Speaker 1 Profile URL,Speaker 2 Name,Speaker 2 Job Title,Speaker 2 Company,Speaker 2 Profile URL,Speaker 3 Name,Speaker 3 Job Title,Speaker 3 Company,Speaker 3 Profile URL,Speaker 4 Name,Speaker 4 Job Title,Speaker 4 Company,Speaker 4 Profile URL,Speaker 5 Name,Speaker 5 Job Title,Speaker 5 Company,Speaker 5 Profile URL,Session URL
36327,How to close the confidence gap: Better support for small businesses,Day 1,13-May-26,Masterclasses,10:20,11:00,Education & Qualifications,"In conversation with Tara Askham, Grace Hardy, and Stuart Miller 36% of UK small businesses donâ€™t know if they were profitable last month, 51% struggle with cash flow, while 35% of 18â€“34 year olds say they lack the financial skills to manage their business. This session explores how accountants can close the confidence gap through clearer communication and better financial conversations. Attendees will leave with practical ideas to strengthen advisory capability, embed financial confidence across their organisation, and create meaningful impact for the small businesses they support.",Stuart Miller,"Director, Public Policy & Tech Research",Xero,https://www.accountex.co.uk/london/speakers/stuart-miller/,Tara Askham,Founder & Financial Confidence Expert,TKA Finance Training,https://www.accountex.co.uk/london/speakers/tara-askham/,Grace Hardy,CEO,Hardy Accounting,https://www.accountex.co.uk/london/speakers/grace-hardy/,,,,,,,,,https://www.accountex.co.uk/london/sessions/how-to-close-the-confidence-gap-better-support-for-small-businesses/
36957,How to be tax-efficient when extracting company profits,Day 1,13-May-26,Masterclasses,11:20,12:00,Tax / VAT / MTD,In this session we will consider: Whether the employersâ€™ NIC employment allowance can cover Director salary NIC costs The impact of the increased income tax rate on dividends Different corporation tax rates Different income tax rates and possible other income Varying shareholding percentages Anti-avoidance rules including the settlements legislation Additional disclosures required for dividends New rates of loans to participators Pension savings becoming part of the IHT estate The workshop will allow time for worked examples and Q&A and is aimed at those who advise small to medium sized company owners and directors.,Sharon Cooke,Technical Director,20:20 Innovation,https://www.accountex.co.uk/london/speakers/sharon-cooke-2/,,,,,,,,,,,,,,,,,https://www.accountex.co.uk/london/sessions/how-to-be-tax-efficient-when-extracting-company-profits/
37037,"How to design, package and sell a fully outsourced finance function",Day 1,13-May-26,Masterclasses,12:20,13:00,Sales & Marketing / Branding / Social Media,"Many accountancy firms want to move up the value chain by offering outsourced finance and advisory services, but the biggest challenge isnâ€™t ambition - itâ€™s execution.  In this interactive masterclass, Kayleigh Graham will explore how firms can design, package and sell fully outsourced finance services that create real revenue and better client outcomes. Drawing on her experience supporting hundreds of accounting firms to launch new services, she will share practical insights on structuring offers, building a repeatable sales process, and turning growth plans into real, deliverable services.",Kayleigh Graham,Head of Partnerships & Growth,Telleroo,https://www.accountex.co.uk/london/speakers/kayleigh-graham-2/,,,,,,,,,,,,,,,,,https://www.accountex.co.uk/london/sessions/how-to-design-package-and-sell-a-fully-outsourced-finance-function/
36382,How to deliver five star service in a digital practice: Client care that scales,Day 1,13-May-26,Masterclasses,13:20,14:00,Client Relationships / Customer Service,"Clients donâ€™t judge you on tax jargon; they remember how simple, timely and personal you make things feel. In this fastâ€‘paced session Iâ€™ll share a practical framework for fiveâ€‘star client care in a modern accountancy practice, balancing automation and AI with a distinctly human touch. Drawing on networkâ€‘wide examples with clients, expect usable wins: service standards, proactive client touchpoints, smart portals, complaintâ€‘toâ€‘champion recovery, and the metrics that drive loyalty and referrals.",Samantha Skyring,Head of Network Development,TaxAssist Accountants,https://www.accountex.co.uk/london/speakers/samantha-skyring/,,,,,,,,,,,,,,,,,https://www.accountex.co.uk/london/sessions/how-to-deliver-five-star-service-in-a-digital-practice-client-care-that-scales/
36956,How to decide whether to incorporate a business or landlord,Day 1,13-May-26,Masterclasses,14:20,15:00,Tax / VAT / MTD,"In this session, we will compare the tax and legal position of operating a trade or property business in an individualâ€™s own name versus a corporate vehicle. This will consider: -	Varying tax rates -	Starting a new venture compared to transferring an existing one -	CGT and SDLT traps -	Anti-avoidance legislation and recent HMRC Spotlights -	Where Family Investment Companies play their part -	Legal protection -	Other commercial considerations The workshop will allow plenty of time for worked examples and Q&A. This session is aimed at those who advise self-employed individuals and property owners.",Nichola Ross Martin,Tax Consultant,20:20 Innovation,https://www.accountex.co.uk/london/speakers/nichola-ross-martin/,,,,,,,,,,,,,,,,,https://www.accountex.co.uk/london/sessions/how-to-decide-whether-to-incorporate-a-business-or-landlord/
36390,How to get clients to respect you,Day 1,13-May-26,Masterclasses,15:20,16:00,Client Relationships / Customer Service,"Do you have clients who donâ€™t follow your process, donâ€™t stick to deadlines, donâ€™t read emailsâ€¦ then expect miracles at the last minute? If so, this session is for you.  Tim English (founder of The Accountantsâ€™ Table) shares straight talking lessons from building and exiting a firm, plus what he sees weekly working with UK accountants.  Youâ€™ll leave with a clear framework and practical examples you can use immediately to win back respect and reduce stress across your firm. Respect isnâ€™t about being liked; itâ€™s expectations, boundaries and training clients how to treat you and your team.",Tim English,Founder,The Accountants' Table,https://www.accountex.co.uk/london/speakers/tim-english/,,,,,,,,,,,,,,,,,https://www.accountex.co.uk/london/sessions/how-to-get-clients-to-respect-you/
36378,How to create a workplace that saves lives: The business case for supporting survivors,Day 1,13-May-26,Masterclasses,16:20,17:00,Mental Health & Wellbeing,"A safe workplace is business critical. Domestic abuse affects performance, absence, turnover, financial risk and the safety of staff and clients. Cheryl shares the human and commercial case for why every finance team must support survivors. Learn to spot signs in office and remote settings, why they are missed, and how to respond in trauma informed ways, including what to say and what not to say. Take away clear next steps: a practical policy, signposting to specialist support, and simple actions you can embed into HR, wellbeing and risk.",Cheryl Sharp,CEO | Domestic Abuse at Work Specialist | Survivor Mentor,Pink Pig Financials Ltd & Elpis Kai Eleutheria Ltd,https://www.accountex.co.uk/london/speakers/cheryl-sharp/,,,,,,,,,,,,,,,,,https://www.accountex.co.uk/london/sessions/how-to-create-a-workplace-that-saves-lives-the-business-case-for-supporting-survivors/
37065,Leading through uncertainty: Economic insight and strategic action for finance leaders,Day 1,13-May-26,Theatre 1 - FD Show 1,10:20,11:00,Market Trends,"In todayâ€™s volatile economy, the decisions of CFOs and FDs have a direct impact on organisational resilience and growth. Join this session to hear Jonathan Ashworth, Chief Economist, ACCA deliver a concise, data-driven analysis of the current economic outlook, covering key trends, market risks, and opportunities that will influence strategic decisions.   A panel of CFOs, will then share how they are responding in real time, exploring how finance leaders can drive proactive decision-making, optimise performance, and safeguard long-term value.   The session will also highlight how accountants in practice can support smaller businesses, offering practical guidance to help clients navigate uncertainty with confidence.   Packed with insight, peer-led perspectives, and actionable takeaways, this session equips finance leaders to anticipate challenges, make smarter decisions, and lead their organisations with impact.  Global Economic Conditions Survey: Q4 2025 | ACCA Global",Sophia Levell FCCA,CFO,Access Fertility,https://www.accountex.co.uk/london/speakers/sophia-levell-fcca/,Jonathan Ashworth,,ACCA,https://www.accountex.co.uk/london/speakers/jonathan-ashworth/,Clive Webb,Senior Insights Manager,ACCA,https://www.accountex.co.uk/london/speakers/clive-webb/,,,,,,,,,https://www.accountex.co.uk/london/sessions/leading-through-uncertainty-economic-insight-and-strategic-action-for-finance-leaders/
37254,"The Future of Finance is Human: Human-Led, AI-Enabled",Day 1,13-May-26,Theatre 1 - FD Show 1,11:20,12:00,,"The future finance function will be human-led and AI-enabled â€” guiding businesses and governing intelligent systems. As AI becomes embedded across enterprises, finance leaders must strengthen Business Guidanceâ€”supporting strategic decision-making and enterprise value creationâ€”while enabling Business Governance, ensuring the integrity, accountability, and transparency of AI-enabled decision systems. This keynote explores how these two pillars evolve in the AI-enabled enterprise and the capability shifts finance professionals must make to remain effective and relevant in the future.",Ash Noah,Managing Director - CIMA,AICPA & CIMA,https://www.accountex.co.uk/london/speakers/ash-noah/,,,,,,,,,,,,,,,,,https://www.accountex.co.uk/london/sessions/the-future-of-finance-is-human-human-led-ai-enabled/
36307,Three years on: Lessons from Comic Reliefâ€™s digital transformation,Day 1,13-May-26,Theatre 1 - FD Show 1,12:20,13:00,Change Management,"Implementing a new finance system is a major milestone, but the real impact takes time. Three years after go-live, Comic Relief shares how digital transformation improved efficiency, reporting, and decision-making. This session offers practical tips to sustain benefits, avoid pitfalls, and drive long-term value. Plus, honest lessons on what worked, what didnâ€™t, and strategies to maximise technology investments.  Learning Outcomes â€¢	Apply insights with practical strategies â€¢	Understand digital transformation impact â€¢	Recognise value of digital transformation  â€¢	Sustain growth and strategic decision-making",Neil Wildy,PM Manager,Xledger UK,https://www.accountex.co.uk/london/speakers/neil-wildy/,Bex McGann,Head of Finance,Comic Relief,https://www.accountex.co.uk/london/speakers/bex-mcgann/,,,,,,,,,,,,,https://www.accountex.co.uk/london/sessions/three-years-on-lessons-from-comic-reliefs-digital-transformation/
